age,gender,race_minority,years_education,disability,disease,anios_en_calle,family_contact,recieves_help,drug_consumption,avg_age_drug_consumption,lgbt_minority,ln_years_street
24.0,1,0,7.0,0,0,18.083333333333332,1,0,1,15.0,0,2.8949907037524594
19.0,1,0,7.0,0,0,7.0,1,0,0,0.0,0,1.9459101490553132
15.0,0,0,7.0,1,1,2.4166666666666665,1,0,0,0.0,0,0.8823891801984737
21.0,1,0,13.0,0,0,13.083333333333334,1,0,0,0.0,0,2.571339155560308
23.0,1,1,7.0,1,0,0.5,1,0,0,0.0,1,-0.6931471805599453
22.0,1,0,7.0,1,0,7.25,1,0,0,0.0,0,1.9810014688665833
40.0,1,0,11.0,0,0,1.75,1,1,0,0.0,0,0.5596157879354227
32.0,1,0,7.0,1,0,11.166666666666666,1,0,0,0.0,0,2.412933150162911
31.0,1,0,2.0,0,0,0.75,1,0,1,25.0,0,-0.2876820724517809
28.0,1,0,15.0,1,0,0.5,0,1,1,20.0,0,-0.6931471805599453
69.0,1,0,2.0,1,0,12.166666666666666,1,1,0,0.0,0,2.498699971920336
35.0,0,0,13.0,1,0,21.0,1,1,1,15.0,0,3.044522437723423
19.0,0,0,7.0,0,0,4.0,1,1,0,0.0,0,1.3862943611198906
25.0,1,0,7.0,1,0,4.0,1,1,1,15.0,0,1.3862943611198906
30.0,1,0,2.0,0,0,19.0,0,1,1,15.0,0,2.9444389791664403
52.0,1,0,2.0,1,0,2.0833333333333335,0,1,1,18.0,0,0.7339691750802005
25.0,1,1,15.0,0,0,1.4166666666666667,1,1,0,0.0,0,0.3483066942682158
23.0,1,0,7.0,0,0,1.5,1,0,1,15.0,0,0.4054651081081644
50.0,1,0,7.0,0,0,10.0,1,0,1,16.666666666666668,0,2.302585092994046
64.0,1,0,13.0,1,0,4.0,1,0,0,0.0,0,1.3862943611198906
74.0,1,1,7.0,1,0,9.0,1,0,1,19.0,0,2.1972245773362196
29.0,1,0,11.0,0,0,4.0,1,0,1,20.2,0,1.3862943611198906
24.0,0,0,2.0,0,0,7.25,1,1,0,0.0,0,1.9810014688665833
34.0,1,0,7.0,0,0,5.0,1,0,1,15.0,0,1.6094379124341003
17.0,1,0,2.0,0,0,5.0,1,0,1,15.0,0,1.6094379124341003
24.0,1,0,2.0,1,0,4.166666666666667,1,1,1,15.0,0,1.4271163556401458
63.0,1,0,2.0,0,0,15.0,1,1,0,0.0,0,2.70805020110221
67.0,1,0,7.0,1,0,40.0,0,0,0,0.0,0,3.6888794541139363
18.0,1,0,7.0,0,0,2.0,0,1,1,15.0,0,0.6931471805599453
18.0,1,0,7.0,1,1,5.0,1,1,1,16.0,0,1.6094379124341003
61.0,1,0,7.0,0,0,26.0,1,1,1,20.0,0,3.258096538021482
61.0,1,0,13.0,0,1,8.5,1,0,0,0.0,0,2.1400661634962708
67.0,1,0,15.0,1,1,2.25,0,0,0,0.0,0,0.8109302162163288
41.0,1,0,13.0,1,0,32.0,1,0,1,15.0,0,3.4657359027997265
46.0,1,0,7.0,1,0,17.0,1,1,0,0.0,0,2.833213344056216
54.0,0,1,2.0,0,0,9.0,1,0,0,0.0,0,2.1972245773362196
48.0,1,0,7.0,0,0,18.0,0,0,1,15.0,0,2.8903717578961645
72.0,1,0,11.0,1,1,8.333333333333334,1,1,0,0.0,0,2.120263536200091
58.0,1,0,13.0,0,0,2.0,0,1,1,15.0,0,0.6931471805599453
33.0,1,0,13.0,0,0,0.25,0,1,1,16.25,0,-1.3862943611198906
68.0,1,0,13.0,0,0,60.0,1,0,1,15.0,0,4.0943445622221
55.0,0,0,2.0,1,1,1.0,1,1,1,15.0,0,0.0
49.0,1,1,15.0,1,0,18.0,1,1,1,15.0,0,2.8903717578961645
26.0,1,0,15.0,1,0,11.0,0,1,1,15.857142857142858,0,2.3978952727983707
25.0,1,0,2.0,1,0,2.0,0,1,1,17.5,0,0.6931471805599453
75.0,1,0,7.0,0,0,7.0,1,1,0,0.0,0,1.9459101490553132
42.0,1,0,7.0,0,0,2.0,0,1,1,15.0,0,0.6931471805599453
61.0,1,0,2.0,1,0,4.0,0,1,0,0.0,0,1.3862943611198906
30.0,1,0,2.0,0,0,14.0,1,1,1,15.0,0,2.6390573296152584
43.0,0,0,7.0,1,0,10.0,1,0,1,24.666666666666668,1,2.302585092994046
24.0,1,0,7.0,0,0,0.16666666666666666,1,0,1,15.0,0,-1.791759469228055
38.0,0,0,15.0,1,0,0.08333333333333333,1,1,1,22.0,0,-2.4849066497880004
41.0,1,0,15.0,1,0,0.3333333333333333,1,0,1,18.0,0,-1.0986122886681098
64.0,1,0,7.0,1,0,30.0,1,0,1,24.333333333333332,0,3.4011973816621555
52.0,1,0,7.0,1,0,15.0,1,1,1,15.0,0,2.70805020110221
37.0,1,1,7.0,0,0,2.0,0,0,1,15.0,0,0.6931471805599453
41.0,1,0,7.0,0,0,12.0,0,1,1,15.0,0,2.4849066497880004
56.0,1,0,2.0,1,0,3.0,1,0,1,15.0,0,1.0986122886681098
41.0,0,0,15.0,1,0,8.0,0,1,1,15.0,0,2.0794415416798357
33.0,1,0,13.0,1,0,4.0,1,0,1,15.0,0,1.3862943611198906
28.0,1,0,7.0,0,1,7.0,0,1,1,15.0,0,1.9459101490553132
69.0,1,0,2.0,1,0,4.0,0,1,1,20.0,0,1.3862943611198906
63.0,1,0,15.0,0,0,10.666666666666666,1,0,0,0.0,0,2.367123614131617
44.0,1,0,13.0,1,0,3.0,0,1,1,18.0,0,1.0986122886681098
64.0,1,0,7.0,0,0,55.0,0,0,0,0.0,0,4.007333185232471
75.0,1,0,15.0,1,0,10.0,0,0,0,0.0,0,2.302585092994046
54.0,1,0,2.0,0,1,18.0,1,1,1,15.0,0,2.8903717578961645
60.0,1,0,11.0,0,1,5.0,1,0,1,15.0,0,1.6094379124341003
56.0,1,0,13.0,1,1,1.0,1,1,0,0.0,0,0.0
74.0,1,0,15.0,0,1,4.0,1,1,0,0.0,0,1.3862943611198906
46.0,1,0,7.0,1,0,2.0,0,1,1,28.0,0,0.6931471805599453
45.0,1,0,11.0,0,0,9.0,0,0,1,21.666666666666668,0,2.1972245773362196
39.0,0,0,7.0,0,0,4.0,1,0,1,21.666666666666668,0,1.3862943611198906
23.0,1,0,7.0,0,0,2.0,0,1,1,15.0,0,0.6931471805599453
20.0,1,0,13.0,0,0,1.5,1,1,1,15.0,0,0.4054651081081644
44.0,1,1,7.0,0,1,6.0,1,1,1,15.0,0,1.791759469228055
65.0,0,0,2.0,1,1,4.0,1,1,1,25.0,0,1.3862943611198906
30.0,1,0,7.0,1,0,1.4166666666666667,1,0,1,20.0,0,0.3483066942682158
47.0,1,0,2.0,1,1,2.0,1,1,0,0.0,0,0.6931471805599453
22.0,1,0,13.0,0,0,13.0,1,1,1,15.0,0,2.5649493574615367
64.0,1,0,15.0,1,1,12.0,1,0,1,45.0,0,2.4849066497880004
50.0,0,0,2.0,1,0,30.0,1,1,1,15.0,0,3.4011973816621555
23.0,1,0,7.0,0,0,5.0,0,1,1,15.8,0,1.6094379124341003
61.0,0,0,2.0,1,1,1.5,0,1,0,0.0,0,0.4054651081081644
44.0,1,0,7.0,0,0,4.0,0,1,1,16.5,0,1.3862943611198906
22.0,0,0,13.0,1,1,2.0,1,1,1,17.5,0,0.6931471805599453
33.0,1,0,11.0,1,0,1.25,1,1,1,17.5,0,0.22314355131420976
69.0,0,0,15.0,1,0,1.0,1,0,1,20.0,0,0.0
43.0,1,0,15.0,1,0,4.0,0,0,1,15.0,0,1.3862943611198906
59.0,1,0,15.0,1,0,5.0,1,1,1,15.0,0,1.6094379124341003
56.0,0,0,2.0,1,1,2.0,1,0,1,20.0,0,0.6931471805599453
40.0,1,0,7.0,0,0,5.0,0,1,1,34.75,0,1.6094379124341003
26.0,1,0,11.0,0,0,0.5,1,0,1,15.0,0,-0.6931471805599453
52.0,1,0,2.0,1,0,0.25,1,1,1,15.0,0,-1.3862943611198906
32.0,0,0,13.0,1,0,0.5833333333333334,1,1,1,19.0,0,-0.5389965007326869
25.0,1,0,15.0,1,0,0.25,1,0,1,15.0,0,-1.3862943611198906
73.0,1,1,15.0,0,0,1.0,1,1,1,15.0,0,0.0
59.0,0,0,13.0,1,0,16.0,1,0,1,29.0,0,2.772588722239781
69.0,1,0,7.0,1,0,35.083333333333336,1,0,1,15.0,0,3.5577261838943812
36.0,0,0,7.0,0,0,0.08333333333333333,0,1,1,15.0,0,-2.4849066497880004
50.0,1,0,2.0,0,0,0.16666666666666666,1,1,1,15.0,0,-1.791759469228055
44.0,1,0,2.0,1,0,32.0,1,1,1,15.0,0,3.4657359027997265
49.0,1,1,7.0,0,0,8.0,1,0,1,15.0,0,2.0794415416798357
55.0,1,0,7.0,0,0,30.0,0,1,1,16.0,0,3.4011973816621555
36.0,1,0,7.0,1,0,2.0,0,1,1,15.666666666666666,0,0.6931471805599453
23.0,0,0,13.0,0,0,1.0,1,0,1,20.5,0,0.0
20.0,1,0,13.0,0,0,2.5,1,1,1,16.25,0,0.9162907318741551
44.0,1,0,13.0,0,0,5.0,1,1,1,18.333333333333332,0,1.6094379124341003
47.0,1,0,7.0,1,0,1.5,1,1,1,18.0,0,0.4054651081081644
30.0,1,0,7.0,0,0,2.0,1,1,1,18.5,0,0.6931471805599453
23.0,1,0,7.0,0,0,0.25,1,1,1,20.5,0,-1.3862943611198906
70.0,1,0,15.0,1,1,5.0,0,1,1,40.0,0,1.6094379124341003
49.0,0,0,15.0,1,1,37.583333333333336,1,1,1,15.0,0,3.6265606897146783
32.0,1,0,15.0,1,1,5.416666666666667,1,0,1,19.285714285714285,0,1.6894806201076369
